"","estrato1","sex","age","p6240","p6426","ina","maxEducLevel","ocu","dsi","y_total_m_ha"
"2",2,1,36,1,166,NA,6,1,0,8404.3203125
"9",2,1,51,1,12,NA,7,1,0,6703.3427734375
"14",2,1,45,1,15,NA,4,1,0,3680.65405273438
"16",2,1,61,1,120,NA,3,1,0,4083.33325195312
"22",2,0,35,6,24,NA,7,1,0,9437.84765625
"23",2,0,35,1,36,NA,6,1,0,6317.5
"26",2,1,39,4,94,NA,7,1,0,8571.46484375
"31",2,1,29,4,6,NA,7,1,0,5833.33349609375
"34",2,1,29,4,24,NA,6,1,0,3366.04931640625
"38",2,0,44,6,6,NA,5,1,0,1666.66662597656
"39",2,1,31,6,24,NA,6,1,0,NA
"43",2,0,18,1,18,NA,6,1,0,NA
"44",2,1,55,1,2,NA,6,1,0,NA
"49",2,0,56,1,30,NA,4,1,0,3990.27709960938
"52",2,1,23,1,51,NA,7,1,0,5146.94482421875
"53",2,1,30,1,8,NA,6,1,0,4104.10302734375
"54",2,0,50,1,72,NA,7,1,0,2916.66674804688
"55",2,1,28,1,24,NA,7,1,0,4617.11572265625
"57",2,0,54,1,120,NA,5,1,0,5303.0302734375
"59",2,1,36,4,36,NA,6,1,0,4375
"60",2,0,53,4,120,NA,5,1,0,350
"62",2,0,33,1,24,NA,7,1,0,7736.45849609375
"65",2,1,38,1,96,NA,6,1,0,3868.87915039062
"71",2,1,51,1,100,NA,6,1,0,NA
"73",2,0,51,1,72,NA,6,1,0,5617.2841796875
"77",2,1,43,1,24,NA,7,1,0,17662.037109375
"82",2,1,47,1,204,NA,6,1,0,4333.33349609375
"84",2,0,41,1,48,NA,6,1,0,9682.205078125
"87",2,0,31,1,24,NA,6,1,0,4019.57348632812
"88",2,1,36,1,156,NA,5,1,0,4014.30737304688
"95",2,0,50,4,108,NA,6,1,0,4425.23193359375
"96",2,0,42,1,12,NA,6,1,0,5284.02783203125
"98",2,1,45,1,70,NA,4,1,0,7777.77783203125
"99",2,1,20,1,4,NA,7,1,0,3056.66674804688
"100",2,1,49,1,36,NA,6,1,0,6237.486328125
"102",2,0,47,4,24,NA,6,1,0,5185.18505859375
"105",2,1,24,1,36,NA,6,1,0,3305.5556640625
"106",2,1,27,1,12,NA,7,1,0,7406.33349609375
"108",2,0,24,6,12,NA,7,1,0,17791.666015625
"109",2,0,47,1,3,NA,7,1,0,6342.59228515625
"110",2,1,55,1,360,NA,5,1,0,8750
"113",3,1,21,6,1,NA,7,1,0,5444.4443359375
"115",2,1,29,1,18,NA,6,1,0,3990.27709960938
"117",3,0,63,1,120,NA,6,1,0,2430.5556640625
"120",2,1,35,1,38,NA,4,1,0,6304.75
"121",2,0,56,1,142,NA,6,1,0,4289.12109375
"123",2,0,53,1,112,NA,6,1,0,6197.91650390625
"124",2,0,23,1,8,NA,7,1,0,7899.3056640625
"125",2,1,41,1,2,NA,6,1,0,3908.8427734375
"130",2,0,32,1,5,NA,6,1,0,3990.27709960938
"133",2,1,62,1,1,NA,4,1,0,3333.33325195312
"136",2,1,24,1,1,NA,7,1,0,8230.5419921875
