"directorio","estrato1","sex","age","p6240","p6426","maxEducLevel","ocu","dsi","y_total_m","y_total_m_ha","ingtot","ingtotob","microEmpresa","cuentaPropia","formal","oficio","p6210","p7090","hoursWorkUsual","relab","sizeFirm"
4514331,2,1,36,1,166,6,1,0,1620833.25,8404.3203125,1840833.33333333,1840833.33333333,0,0,1,39,5,2,45,2,5
4514333,2,1,51,1,12,7,1,0,1378973.375,6703.3427734375,1878973.33333333,1878973.33333333,0,0,1,85,6,2,48,1,3
4514334,2,1,45,1,15,4,1,0,883357,3680.65405273438,883357,883357,1,0,1,45,3,2,56,1,2
4514335,2,1,61,1,120,3,1,0,7e+05,4083.33325195312,1200000,7e+05,0,0,0,53,3,2,40,1,4
4514338,2,0,35,6,24,7,1,0,1941500.125,9437.84765625,1941500,1941500,0,0,1,13,6,2,48,2,5
4514339,2,0,35,1,36,6,1,0,1083000,6317.5,1083000,1083000,0,0,1,42,5,2,40,1,5
4514339,2,1,39,4,94,7,1,0,1616333.375,8571.46484375,1716333.33333333,1616333.33333333,0,0,1,33,6,2,44,1,5
4514342,2,1,29,4,6,7,1,0,1e+06,5833.33349609375,1e+06,1e+06,1,1,0,37,6,2,40,4,1
4514343,2,1,29,4,24,6,1,0,779000,3366.04931640625,779000,779000,1,0,1,45,5,2,54,1,2
4514344,2,0,44,6,6,5,1,0,3e+05,1666.66662597656,3e+05,3e+05,1,1,0,57,4,2,42,4,1
4514348,2,0,56,1,30,4,1,0,820857,3990.27709960938,820857,820857,0,0,1,55,3,2,48,1,5
4514349,2,1,23,1,51,7,1,0,882333.4375,5146.94482421875,1226333.41666667,1226333.41666667,0,0,1,39,6,2,40,1,5
4514349,2,1,30,1,8,6,1,0,949806.6875,4104.10302734375,1237806.66666667,1237806.66666667,0,0,1,53,5,2,54,1,3
4514350,2,0,50,1,72,7,1,0,6e+05,2916.66674804688,6e+05,6e+05,1,1,0,45,6,2,48,4,1
4514350,2,1,28,1,24,7,1,0,949806.6875,4617.11572265625,949806.666666667,949806.666666667,0,0,1,39,6,2,48,1,5
4514351,2,0,54,1,120,5,1,0,1500000,5303.0302734375,1500000,1500000,1,1,0,79,4,2,66,4,2
4514352,2,1,36,4,36,6,1,0,3e+05,4375,310000,310000,1,0,0,37,5,2,16,1,2
4514353,2,0,53,4,120,5,1,0,60000,350,60000,60000,1,1,0,56,4,2,40,4,1
4514354,2,0,33,1,24,7,1,0,1591500,7736.45849609375,1591500,1591500,0,0,1,39,6,2,48,1,3
4514354,2,1,38,1,96,6,1,0,795883.6875,3868.87915039062,795883.666666667,795883.666666667,0,0,1,37,5,2,48,1,5
4514357,2,0,51,1,72,6,1,0,1083333.375,5617.2841796875,1083333.33333333,1083333.33333333,0,0,1,55,5,2,45,1,4
4514359,2,1,43,1,24,7,1,0,3633333.25,17662.037109375,3633333.33333333,3633333.33333333,0,0,1,21,6,2,48,1,5
4514360,2,1,47,1,204,6,1,0,1300000,4333.33349609375,1300000,1300000,1,1,1,98,5,2,70,4,1
