Variable;Minimo;1st Qu;Mediana;Media;3rd QU;Máximo
  directorio    ;Min.   :4514331 ;1st Qu.:4588558 ;Median :4655331 ;Mean   :4657867 ;3rd Qu.:4728990 ;Max.   :4804455 
   estrato1   ;Min.   :1.000 ;1st Qu.:2.000 ;Median :2.000 ;Mean   :2.521 ;3rd Qu.:3.000 ;Max.   :6.000 
     sex       ;Min.   :0.0000 ;1st Qu.:0.0000 ;Median :1.0000 ;Mean   :0.5266 ;3rd Qu.:1.0000 ;Max.   :1.0000 
     age      ;Min.   :18.00 ;1st Qu.:28.00 ;Median :37.00 ;Mean   :38.89 ;3rd Qu.:49.00 ;Max.   :91.00 
    p6240    ;Min.   :1.00 ;1st Qu.:1.00 ;Median :1.00 ;Mean   :1.48 ;3rd Qu.:1.00 ;Max.   :6.00 
    p6426      ;Min.   :  0.00 ;1st Qu.:  7.00 ;Median : 24.00 ;Mean   : 61.97 ;3rd Qu.: 72.00 ;Max.   :720.00 
 maxEducLevel ;Min.   :1.000 ;1st Qu.:5.000 ;Median :6.000 ;Mean   :5.947 ;3rd Qu.:7.000 ;Max.   :7.000 
     ocu  ;Min.   :1 ;1st Qu.:1 ;Median :1 ;Mean   :1 ;3rd Qu.:1 ;Max.   :1 
     dsi  ;Min.   :0 ;1st Qu.:0 ;Median :0 ;Mean   :0 ;3rd Qu.:0 ;Max.   :0 
  y_total_m      ;Min.   :      84 ;1st Qu.:  800000 ;Median :  992745 ;Mean   : 1617605 ;3rd Qu.: 1554083 ;Max.   :70000000 
 y_total_m_ha    ;Min.   :     0.5 ;1st Qu.:  3796.5 ;Median :  4837.8 ;Mean   :  8542.2 ;3rd Qu.:  7899.3 ;Max.   :350583.3 
    ingtot       ;Min.   :   20000 ;1st Qu.:  800000 ;Median : 1065453 ;Mean   : 1775332 ;3rd Qu.: 1708500 ;Max.   :85833333 
   ingtotob      ;Min.   :       0 ;1st Qu.:  800000 ;Median : 1049453 ;Mean   : 1753810 ;3rd Qu.: 1698106 ;Max.   :85833333 
 microEmpresa  ;Min.   :0.0000 ;1st Qu.:0.0000 ;Median :0.0000 ;Mean   :0.4265 ;3rd Qu.:1.0000 ;Max.   :1.0000 
 cuentaPropia  ;Min.   :0.0000 ;1st Qu.:0.0000 ;Median :0.0000 ;Mean   :0.2974 ;3rd Qu.:1.0000 ;Max.   :1.0000 
    formal     ;Min.   :0.0000 ;1st Qu.:0.0000 ;Median :1.0000 ;Mean   :0.6024 ;3rd Qu.:1.0000 ;Max.   :1.0000 
    oficio   ;Min.   : 1.0 ;1st Qu.:33.0 ;Median :45.0 ;Mean   :50.2 ;3rd Qu.:73.5 ;Max.   :99.0 
    p6210     ;Min.   :1.000 ;1st Qu.:4.000 ;Median :5.000 ;Mean   :4.999 ;3rd Qu.:6.000 ;Max.   :6.000 
    p7090     ;Min.   :1.000 ;1st Qu.:2.000 ;Median :2.000 ;Mean   :1.903 ;3rd Qu.:2.000 ;Max.   :2.000 
hoursWorkUsual ;Min.   :  1.0  ;1st Qu.: 40.0  ;Median : 48.0  ;Mean   : 47.2  ;3rd Qu.: 50.0  ;Max.   :130.0  
    relab    ;Min.   :1.00 ;1st Qu.:1.00 ;Median :1.00 ;Mean   :2.14 ;3rd Qu.:4.00 ;Max.   :9.00 
   sizeFirm   ;Min.   :1.000 ;1st Qu.:2.000 ;Median :4.000 ;Mean   :3.213 ;3rd Qu.:5.000 ;Max.   :5.000 
